game_id,game_date,home_team,away_team,home_lineup_quality_score,away_lineup_quality_score,lineup_quality_diff,home_top3_available,away_top3_available,home_projected_lineup_available,away_projected_lineup_available,home_confirmed_lineup_available,away_confirmed_lineup_available,lineup_confidence_grade,lineup_context_available,lineup_quality_warning
824026,2026-06-03,Angels,Rockies,100,45,55,True,False,True,True,True,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
824027,2026-06-02,Angels,Rockies,100,100,0,True,True,True,True,True,True,A,True,
824094,2026-07-01,Royals,Rays,100,100,0,True,True,True,True,True,True,A,True,
824095,2026-06-21,Royals,Cardinals,100,100,0,True,True,True,True,True,True,A,True,
824096,2026-06-30,Royals,Rays,100,100,0,True,True,True,True,True,True,A,True,
824097,2026-06-20,Royals,Cardinals,100,100,0,True,True,True,True,True,True,A,True,
824098,2026-06-18,Royals,Cardinals,100,100,0,True,True,True,True,True,True,A,True,
824099,2026-06-14,Royals,Astros,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
824100,2026-06-13,Royals,Astros,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
824101,2026-06-11,Royals,Rangers,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
824102,2026-06-13,Royals,Astros,100,100,0,True,True,True,True,True,True,A,True,
824103,2026-06-10,Royals,Rangers,100,100,0,True,True,True,True,True,True,A,True,
824104,2026-05-27,Royals,Yankees,0,0,0,False,False,False,False,False,False,D,False,confirmed lineup missing | projected lineup incomplete | top3 hitter ids incomplete | top3 savant incomplete
824105,2026-06-09,Royals,Rangers,100,100,0,True,True,True,True,True,True,A,True,
824174,2026-07-02,Astros,Twins,100,100,0,True,True,True,True,True,True,A,True,
824175,2026-07-01,Astros,Twins,100,100,0,True,True,True,True,True,True,A,True,
824176,2026-06-30,Astros,Twins,100,100,0,True,True,True,True,True,True,A,True,
824177,2026-06-21,Astros,Guardians,100,100,0,True,True,True,True,True,True,A,True,
824178,2026-06-17,Astros,Tigers,100,100,0,True,True,True,True,True,True,A,True,
824179,2026-06-20,Astros,Guardians,100,100,0,True,True,True,True,True,True,A,True,
824180,2026-06-20,Astros,Guardians,100,100,0,True,True,True,True,True,True,A,True,
824181,2026-06-16,Astros,Tigers,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
824182,2026-06-17,Astros,Tigers,100,100,0,True,True,True,True,True,True,A,True,
