candidate,fold_id,game_id,game_date,home_team,away_team,research_home_win_probability,outcome
logistic_core_c0.05_balanced,3,824585,2026-06-22,White Sox,Guardians,0.47173537412225414,1
logistic_core_c0.05_balanced,3,822718,2026-06-23,Nationals,Phillies,0.48882599441670177,0
logistic_core_c0.05_balanced,3,822799,2026-06-23,Blue Jays,Astros,0.4412849755571023,0
logistic_core_c0.05_balanced,3,822963,2026-06-23,Rays,Royals,0.606869576460482,0
logistic_core_c0.05_balanced,3,823043,2026-06-23,Cardinals,D-backs,0.4764372663757772,0
logistic_core_c0.05_balanced,3,823210,2026-06-24,Giants,Athletics,0.5329419405753487,1
logistic_core_c0.05_balanced,3,823286,2026-06-24,Padres,Braves,0.5332773860930676,1
logistic_core_c0.05_balanced,3,823365,2026-06-23,Pirates,Mariners,0.47894264166948547,0
logistic_core_c0.05_balanced,3,823614,2026-06-23,Mets,Cubs,0.4317944941887612,0
logistic_core_c0.05_balanced,3,823690,2026-06-23,Twins,Dodgers,0.5645479550626741,0
logistic_core_c0.05_balanced,3,823849,2026-06-23,Marlins,Rangers,0.4941838889338039,1
logistic_core_c0.05_balanced,3,824017,2026-06-24,Angels,Orioles,0.29500025118910916,1
logistic_core_c0.05_balanced,3,824262,2026-06-23,Tigers,Yankees,0.5649382113192717,0
logistic_core_c0.05_balanced,3,824340,2026-06-24,Rockies,Red Sox,0.24510037196476095,0
logistic_core_c0.05_balanced,3,824501,2026-06-23,Reds,Brewers,0.47318700490043675,0
logistic_core_c0.05_balanced,3,824584,2026-06-23,White Sox,Guardians,0.4595289665902704,1
logistic_core_c0.05_balanced,3,822719,2026-06-24,Nationals,Phillies,0.538087589222022,0
logistic_core_c0.05_balanced,3,822798,2026-06-24,Blue Jays,Astros,0.5264273883198264,0
logistic_core_c0.05_balanced,3,822965,2026-06-24,Rays,Royals,0.5517586693274414,1
logistic_core_c0.05_balanced,3,823041,2026-06-24,Cardinals,D-backs,0.5372161649323559,0
logistic_core_c0.05_balanced,3,823208,2026-06-25,Giants,Athletics,0.381895524793244,1
logistic_core_c0.05_balanced,4,823284,2026-06-25,Padres,Braves,0.5476020181851534,1
logistic_core_c0.05_balanced,4,823367,2026-06-24,Pirates,Mariners,0.5280929774649672,1
logistic_core_c0.05_balanced,4,823611,2026-06-24,Mets,Cubs,0.5450722760849279,0
logistic_core_c0.05_balanced,4,823691,2026-06-24,Twins,Dodgers,0.49764305965646627,0
logistic_core_c0.05_balanced,4,823850,2026-06-24,Marlins,Rangers,0.5020821668365469,1
logistic_core_c0.05_balanced,4,824018,2026-06-24,Angels,Orioles,0.6164953928063757,1
logistic_core_c0.05_balanced,4,824259,2026-06-24,Tigers,Yankees,0.5820755710965164,0
logistic_core_c0.05_balanced,4,824341,2026-06-24,Rockies,Red Sox,0.2875432804632356,1
logistic_core_c0.05_balanced,4,824500,2026-06-24,Reds,Brewers,0.45552432005984084,0
logistic_core_c0.05_balanced,4,824583,2026-06-24,White Sox,Guardians,0.4944004452197227,0
logistic_core_c0.05_balanced,4,822717,2026-06-25,Nationals,Phillies,0.46955294626566857,0
logistic_core_c0.05_balanced,4,822797,2026-06-25,Blue Jays,Rangers,0.4700210070558788,0
logistic_core_c0.05_balanced,4,822961,2026-06-25,Rays,Royals,0.5367563153106082,1
logistic_core_c0.05_balanced,4,823209,2026-06-25,Giants,Athletics,0.5783808468623557,0
logistic_core_c0.05_balanced,4,823366,2026-06-25,Pirates,Mariners,0.4221797815834263,1
logistic_core_c0.05_balanced,4,823612,2026-06-25,Mets,Cubs,0.5822450649446077,0
logistic_core_c0.05_balanced,4,824258,2026-06-25,Tigers,Astros,0.6243670867956602,0
logistic_core_c0.05_balanced,4,824747,2026-06-25,Red Sox,Yankees,0.43730730873901896,1
logistic_core_c0.05_balanced,4,822796,2026-06-26,Blue Jays,Rangers,0.4559555746578424,0
logistic_core_c0.05_balanced,4,822962,2026-06-26,Rays,D-backs,0.5601683677348688,1
logistic_core_c0.05_balanced,4,823039,2026-06-27,Cardinals,Marlins,0.4942632872328342,0
logistic_core_c0.05_balanced,4,823206,2026-06-27,Giants,Braves,0.5594008107103917,0
logistic_core_c0.05_balanced,4,823285,2026-06-27,Padres,Dodgers,0.5804796448395314,1
logistic_core_c0.05_balanced,4,823363,2026-06-26,Pirates,Reds,0.5351373342971641,0
logistic_core_c0.05_balanced,4,823610,2026-06-26,Mets,Phillies,0.5275047132064276,0
logistic_core_c0.05_balanced,4,823688,2026-06-27,Twins,Rockies,0.5099809892055619,1
logistic_core_c0.05_balanced,4,823773,2026-06-26,Brewers,Cubs,0.5653434915102146,1
logistic_core_c0.05_balanced,4,824014,2026-06-27,Angels,Athletics,0.5456101279714223,0
logistic_core_c0.05_balanced,4,824255,2026-06-26,Tigers,Astros,0.5144132359957981,1
logistic_core_c0.05_balanced,4,824423,2026-06-26,Guardians,Mariners,0.512961432099989,0
logistic_core_c0.05_balanced,4,824582,2026-06-26,White Sox,Royals,0.5057295680913172,1
logistic_core_c0.05_balanced,4,824743,2026-06-26,Red Sox,Yankees,0.4995393099533104,1
logistic_core_c0.05_balanced,4,824824,2026-06-26,Orioles,Nationals,0.4182923812865501,1
logistic_core_c0.05_balanced,4,822794,2026-06-27,Blue Jays,Rangers,0.49495485137259343,0
logistic_core_c0.05_balanced,4,822960,2026-06-27,Rays,D-backs,0.48015597797780474,1
